parameter,value,policy,outcome,n,baseline_mean,policy_mean,mean_diff,sd_diff,se_diff,ci_lo,ci_hi,boot_ci_lo,boot_ci_hi,t_stat,p_value,arm_correlation,variance_reduction_factor,seeds_same_direction
beta_institutional,25.0,vacancy_tax,rental_vacancy_rate,15,0.05148582570661279,0.05172761329751809,0.00024178759090530595,0.0056539628402729825,0.0014598469280301897,-0.0028892726667315454,0.003372847848542157,-0.0026279594012808914,0.0028000397190697498,0.16562530376493403,0.8708197710269574,0.8773878090148505,6.006417547094103,9
beta_institutional,25.0,portfolio_tax,rental_vacancy_rate,15,0.05148582570661279,0.052433533023383626,0.0009477073167708428,0.00459407982668639,0.0011861863106602563,-0.0015964092917236075,0.0034918239252652934,-0.0013152945213409548,0.003325752081936739,0.7989531730840234,0.43766262855344307,0.915735433043144,11.864905413804564,9
beta_institutional,50.0,waiting_period,homeownership_rate,15,0.527971901615409,0.5059475210385865,-0.022024380576822603,0.012463650820623161,0.0032181008040811938,-0.028926520341793528,-0.015122240811851678,-0.027841338717677844,-0.015767203396861076,-6.843906365173924,8.011748889800125e-06,0.8000068032643288,4.95650309526655,14
beta_institutional,50.0,ownership_cap_soft,homeownership_rate,15,0.527971901615409,0.5282281119973427,0.00025621038193372655,0.012456644966468531,0.003216291900316738,-0.006642049670323469,0.007154470434190922,-0.0056853570028435624,0.006770273254468885,0.07966017695983849,0.9376350202669048,0.7943762272649884,4.738088480234486,10
beta_institutional,50.0,ownership_cap_hard,homeownership_rate,15,0.527971901615409,0.5367472141989864,0.008775312583577381,0.006620548321824346,0.001709418226212477,0.005108975127912795,0.012441650039241968,0.005426984097208166,0.011968986396691798,5.133508259719836,0.00015202906537362782,0.952850167363187,20.17037543771618,13
beta_institutional,50.0,purchase_tax,homeownership_rate,15,0.527971901615409,0.529886656975215,0.0019147553598060012,0.005450464400505436,0.0014073038568169296,-0.0011036112181503329,0.004933121937762335,-0.0007538827811877552,0.004680387569272972,1.3605841769927614,0.19514859713956598,0.9642749220947326,27.945569302673366,5
beta_institutional,50.0,vacancy_tax,homeownership_rate,15,0.527971901615409,0.5241159130999891,-0.0038559885154199353,0.010028251811565324,0.0025892834838511236,-0.009409449262829259,0.0016974722319893889,-0.008486796111123504,0.0011851541521978796,-1.4892106404992014,0.1586113713971244,0.8731117287368767,6.614689395199685,11
beta_institutional,50.0,portfolio_tax,homeownership_rate,15,0.527971901615409,0.5268273827765066,-0.0011445188389023753,0.012835342883979669,0.0033140712821676755,-0.008252494807706293,0.005963457129901544,-0.007360000000430537,0.005418492157078866,-0.34535130401714403,0.7349642821437012,0.7914670564734266,4.778729294541148,8
beta_institutional,50.0,waiting_period,ftb_purchase_share,15,0.33644256621314467,0.24846268701596305,-0.08797987919718156,0.019412038416913826,0.005012166766976389,-0.09872990775661654,-0.07722985063774658,-0.09712346172833936,-0.0782676116031151,-17.553262548415923,6.256781656277403e-11,0.7943316805968226,4.861440003543813,15
beta_institutional,50.0,ownership_cap_soft,ftb_purchase_share,15,0.33644256621314467,0.34403535362930143,0.007592787416156813,0.0588814654493763,0.015203129005714787,-0.0250146812899973,0.04020025612231093,-0.02340265755027179,0.03555225179360763,0.4994226789302859,0.6252382157251173,-0.31823947608459713,0.768239134674717,9
beta_institutional,50.0,ownership_cap_hard,ftb_purchase_share,15,0.33644256621314467,0.30886151303129716,-0.027581053181847434,0.022958082238152776,0.005927751344615067,-0.04029481535506469,-0.014867291008630176,-0.039175553112018854,-0.01684561588519374,-4.652869457303202,0.00037304781532065067,0.7038728270821625,3.375241869720833,13
beta_institutional,50.0,purchase_tax,ftb_purchase_share,15,0.33644256621314467,0.33576214410212823,-0.0006804221110164358,0.023703252422585374,0.0061201534589082505,-0.013806845777696954,0.012446001555664082,-0.011612696879381726,0.011396867771099498,-0.11117729573039392,0.9130539247685627,0.6616701223169043,2.924043993283319,5
beta_institutional,50.0,vacancy_tax,ftb_purchase_share,15,0.33644256621314467,0.3404018486550387,0.003959282441894133,0.040982648994833185,0.010581674469363537,-0.018736152095876472,0.02665471697966474,-0.0151447625077121,0.02440261053248942,0.37416407519974243,0.7138882238979246,0.29184718094738366,1.3971780822603266,9
beta_institutional,50.0,portfolio_tax,ftb_purchase_share,15,0.33644256621314467,0.3295855404298914,-0.0068570257832531786,0.046794639324578696,0.012082323919725064,-0.032771033285390355,0.019056981718884,-0.02962194221784483,0.016515309252633184,-0.567525405609984,0.5793450031063271,0.10134903887624838,1.1087361340932316,9
beta_institutional,50.0,waiting_period,rental_vacancy_rate,15,0.05209459406221407,0.06683018977612439,0.01473559571391031,0.007651770531165609,0.0019756786557470056,0.010498186433460791,0.01897300499435983,0.011132753499640711,0.018551555545633862,7.458498208221402,3.066316030231344e-06,0.7799803594054686,4.545047133701088,15
